,ID,year,month,quarter,country,gender,age,visit_purpose,num_visits,revisit_indicator,travel_type,satisfaction,revisit_intent,recommend_intent,visit_local_indicator,seoul,gyeonggi,incheon,gangwon,chungcheong,gyeongsang,jeolla,jeju,planned_activity,stay_duration,total_duration,total_expense,accommodation_cost,food_cost,shopping_cost,accommodation_percent,food_percent,shopping_percent,food,landscape,heritage,language,safety,budget,accommodation,transport,navigation,cluster
289,425.0,2024,1,1,1,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,4.0,5.0,1957.1999999999998,434.9333333333333,434.9333333333333,434.9333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,5,5,5,3,5,5,5,5,4,1
293,429.0,2024,1,1,99,1,3,1,1,0,1,5,3,5,1,1,1,0,0,0,1,0,0,2.0,9.0,10.0,1937.619,547.3500000000001,328.4100000000001,54.73500000000001,0.28248587570621475,0.16949152542372886,0.028248587570621472,5,4,5,3,5,4,4,5,5,5
301,437.0,2024,1,1,5,2,2,1,4,1,1,5,5,5,1,1,1,0,0,1,0,0,0,2.0,30.0,31.0,4250.0,1000.0,250.0,1000.0,0.23529411764705882,0.058823529411764705,0.23529411764705882,5,5,5,5,5,4,4,5,4,0
303,440.0,2024,1,1,1,2,3,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,0,3.0,6.0,7.0,968.9999999999999,102.00000000000003,159.80000000000004,221.00000000000006,0.10526315789473688,0.16491228070175445,0.2280701754385966,5,5,4,3,5,5,5,4,5,6
315,458.0,2024,1,1,5,2,2,1,2,1,1,5,5,5,1,1,0,0,1,0,0,0,0,7.0,6.0,7.0,1300.1399999999996,98.1766990291262,350.631067961165,420.757281553398,0.075512405609493,0.26968716289104644,0.3236245954692557,5,5,5,5,5,5,5,5,5,0
318,462.0,2024,1,1,5,2,2,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,0,2.0,15.0,16.0,2189.4000000000005,209.01193317422437,209.01193317422437,209.01193317422437,0.09546539379474939,0.09546539379474939,0.09546539379474939,5,5,5,3,5,5,5,5,5,6
326,470.0,2024,1,1,1,2,4,1,2,1,1,5,4,4,2,0,0,0,0,0,1,0,0,3.0,4.0,5.0,1291.9999999999998,224.69565217391303,176.54658385093165,385.19254658385086,0.1739130434782609,0.13664596273291926,0.2981366459627329,4,5,5,3,4,4,5,4,5,3
331,475.0,2024,1,1,4,1,5,1,1,0,1,4,4,4,1,1,1,0,1,0,1,0,0,2.0,14.0,15.0,4392.700000000001,1041.7470355731225,434.06126482213443,868.1225296442689,0.23715415019762842,0.09881422924901186,0.1976284584980237,4,3,4,3,4,3,4,4,3,5
332,476.0,2024,1,1,1,2,2,1,2,1,1,4,4,4,2,0,0,0,0,0,1,0,0,2.0,4.0,5.0,1279.0000000000005,224.6177685950414,184.9793388429753,264.25619834710756,0.1756198347107438,0.14462809917355374,0.2066115702479339,4,4,4,4,4,4,5,5,5,3
341,486.0,2024,1,1,1,2,2,1,1,0,1,5,5,5,2,0,0,0,0,0,1,0,0,2.0,3.0,4.0,923.0,258.44,125.52799999999999,184.59999999999997,0.27999999999999997,0.13599999999999998,0.19999999999999996,5,4,4,4,5,4,4,4,5,2
