Unnamed: 0,ID,year,month,quarter,country,gender,age,visit_purpose,num_visits,revisit_indicator,travel_type,satisfaction,revisit_intent,recommend_intent,visit_local_indicator,seoul,gyeonggi,incheon,gangwon,chungcheong,gyeongsang,jeolla,jeju,planned_activity,stay_duration,total_duration,total_expense,accommodation_cost,food_cost,shopping_cost,accommodation_percent,food_percent,shopping_percent,food,landscape,heritage,language,safety,budget,accommodation,transport,navigation,cluster
423,590.0,2024,1,1,14,2,5,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,2.0,4.0,5.0,2703.2,249.9876695437731,99.99506781750924,166.6584463625154,0.0924784217016029,0.0369913686806411,0.0616522811344019,4.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,2
426,598.0,2024,1,1,3,2,3,1,1,0,1,4,4,4,1,1,0,0,1,0,0,0,0,3.0,4.0,5.0,944.775,161.6381522668948,32.32763045337896,121.2286142001711,0.1710863986313088,0.0342172797262617,0.1283147989734816,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5
432,606.0,2024,1,1,99,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,9.0,10.0,2588.9655,492.615,547.35,218.94,0.1902748414376321,0.2114164904862579,0.0845665961945031,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2
442,616.0,2024,1,1,14,2,3,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,6.0,7.0,3142.4700000000003,541.8051724137931,474.079525862069,1015.884698275862,0.1724137931034482,0.1508620689655172,0.3232758620689655,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2
447,622.0,2024,1,1,15,2,4,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,7.0,6.0,7.0,6500.0,2060.221870047544,515.0554675118859,1545.1664025356577,0.3169572107765452,0.0792393026941363,0.2377179080824088,3.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,2
450,626.0,2024,1,1,15,2,2,1,2,1,1,5,5,5,1,1,0,0,0,0,1,0,0,6.0,20.0,21.0,3370.8870000000006,0.0,111.12814285714288,2222.5628571428574,0.0,0.0329670329670329,0.6593406593406593,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0
459,640.0,2024,1,1,15,1,3,1,1,0,1,4,3,5,1,1,0,0,1,0,0,0,0,3.0,7.0,8.0,2250.0000000000005,401.7857142857143,200.89285714285717,753.3482142857143,0.1785714285714285,0.0892857142857142,0.3348214285714285,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,6
475,657.0,2024,1,1,4,2,5,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,1.0,5.0,6.0,4100.0,1002.4449877750612,601.4669926650366,300.7334963325183,0.2444987775061124,0.1466992665036674,0.0733496332518337,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2
482,664.0,2024,1,1,18,2,2,1,3,1,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,9.0,10.0,2156.5590000000007,273.67500000000007,328.4100000000001,273.67500000000007,0.1269035532994923,0.1522842639593908,0.1269035532994923,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3
486,669.0,2024,1,1,1,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,6.0,6.0,7.0,1202.28,125.82,279.6,279.6,0.1046511627906976,0.2325581395348837,0.2325581395348837,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2
494,678.0,2024,1,1,99,2,3,1,1,0,1,4,5,5,0,1,0,0,0,0,0,0,0,6.0,6.0,7.0,1094.7000000000005,268.3088235294118,214.64705882352945,107.32352941176472,0.2450980392156862,0.196078431372549,0.0980392156862745,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,2
495,679.0,2024,1,1,16,1,4,1,1,0,1,5,4,5,1,1,0,0,1,0,0,0,0,5.0,11.0,12.0,1893.15,260.40577716643736,325.5072214580468,32.55072214580467,0.1375515818431912,0.1719394773039889,0.0171939477303989,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,6
512,700.0,2024,1,1,1,1,5,1,2,1,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,3.0,4.0,3914.400000000001,211.7799819657349,211.7799819657349,211.7799819657349,0.054102795311091,0.054102795311091,0.054102795311091,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4
541,741.0,2024,1,1,1,2,2,1,2,1,1,4,4,4,1,1,1,0,0,0,0,0,0,7.0,4.0,5.0,1398.0000000000002,196.90140845070425,210.9657947686117,703.2193158953723,0.1408450704225352,0.1509054325955734,0.5030181086519114,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,0
554,757.0,2024,1,1,2,1,2,1,1,0,1,5,4,4,0,1,0,0,0,0,0,0,0,3.0,2.0,3.0,603.4999999999999,85.5017709563164,142.50295159386067,71.25147579693034,0.1416765053128689,0.2361275088547816,0.1180637544273908,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,1
569,776.0,2024,1,1,9,2,3,1,2,1,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,11.0,12.0,1808.6400000000003,317.3052631578948,237.97894736842107,475.95789473684215,0.175438596491228,0.131578947368421,0.2631578947368421,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
570,777.0,2024,1,1,11,2,2,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,1,7.0,9.0,10.0,2750.0000000000005,595.6678700361011,397.1119133574008,248.19494584837545,0.2166064981949458,0.1444043321299638,0.0902527075812274,3.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5
580,792.0,2024,1,1,18,1,2,1,1,0,1,5,4,5,0,1,0,0,0,0,0,0,0,2.0,6.0,7.0,1313.6400000000003,312.77142857142866,208.51428571428573,104.25714285714288,0.2380952380952381,0.1587301587301587,0.0793650793650793,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1
582,794.0,2024,1,1,8,1,3,1,1,0,1,4,4,5,1,1,1,0,0,0,0,0,0,2.0,9.0,10.0,1303.8,298.865329512894,298.865329512894,149.432664756447,0.2292263610315186,0.2292263610315186,0.1146131805157593,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,6
585,797.0,2024,1,1,1,1,5,1,4,1,1,4,5,5,1,1,0,1,0,0,1,0,0,3.0,6.0,7.0,335.52000000000004,87.92937931034484,69.41793103448278,85.61544827586211,0.2620689655172414,0.2068965517241379,0.2551724137931035,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4
591,803.0,2024,1,1,8,2,5,1,1,0,1,4,3,3,0,1,0,0,0,0,0,0,0,4.0,5.0,6.0,1086.4999999999998,357.4013157894737,142.96052631578945,71.48026315789473,0.3289473684210527,0.131578947368421,0.0657894736842105,3.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,2
592,804.0,2024,1,1,1,2,5,1,4,1,1,4,5,5,1,1,0,1,0,0,1,0,0,2.0,5.0,6.0,335.52000000000004,61.00363636363638,30.50181818181819,61.00363636363638,0.1818181818181818,0.0909090909090909,0.1818181818181818,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,0
597,811.0,2024,1,1,8,2,2,1,1,0,1,5,3,5,1,1,0,0,0,0,1,0,0,3.0,6.0,7.0,1086.5000000000005,263.9698736637513,211.17589893100103,36.95578231292518,0.2429543245869776,0.1943634596695821,0.0340136054421768,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5
612,836.0,2024,1,1,3,2,2,1,2,1,1,5,5,5,2,0,0,0,0,0,1,0,0,4.0,3.0,4.0,1162.8000000000006,153.08571428571432,201.9428571428572,211.71428571428575,0.1316526610644257,0.1736694677871148,0.1820728291316526,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,0
623,859.0,2024,1,1,18,1,2,1,1,0,1,4,1,4,1,1,1,0,0,0,1,0,0,2.0,12.0,13.0,2189.400000000001,523.7799043062203,419.0239234449762,62.853588516746434,0.2392344497607655,0.1913875598086124,0.0287081339712918,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,6
628,868.0,2024,1,1,15,2,3,1,2,1,1,5,5,5,1,1,0,0,0,0,1,0,0,2.0,13.0,14.0,3503.0400000000004,1077.8584615384616,1077.8584615384616,107.78584615384617,0.3076923076923076,0.3076923076923076,0.0307692307692307,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,0
642,887.0,2024,1,1,11,2,3,1,1,0,1,5,4,3,0,1,0,0,0,0,0,0,0,2.0,2.0,3.0,4300.0,201.87793427230048,504.6948356807512,100.93896713615024,0.0469483568075117,0.1173708920187793,0.0234741784037558,3.0,4.0,5.0,1.0,4.0,3.0,2.0,4.0,1.0,2
644,890.0,2024,1,1,16,2,1,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,5.0,20.0,21.0,8834.699999999999,1018.5559878945091,509.2779939472546,254.6389969736273,0.1152903876639285,0.0576451938319642,0.0288225969159821,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2
646,892.0,2024,1,1,18,2,2,1,2,1,1,5,5,5,1,1,0,0,0,0,1,0,0,4.0,27.0,28.0,3087.0540000000005,528.6051369863014,634.3261643835617,422.8841095890412,0.1712328767123287,0.2054794520547945,0.136986301369863,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0
664,912.0,2024,1,1,12,2,5,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,7.0,8.0,1980.0,500.0,150.0,200.0,0.2525252525252525,0.0757575757575757,0.101010101010101,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
666,914.0,2024,1,1,14,2,2,1,2,1,1,5,5,5,0,1,0,0,0,0,0,0,0,1.0,5.0,6.0,1284.02,506.85,337.9,270.32,0.3947368421052631,0.2631578947368421,0.2105263157894736,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3
671,924.0,2024,1,1,12,2,2,1,1,0,1,5,4,5,0,1,0,0,0,0,0,0,0,6.0,5.0,6.0,2055.0,400.0,200.0,200.0,0.194647201946472,0.097323600973236,0.097323600973236,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
674,928.0,2024,1,1,5,2,3,1,3,1,1,4,4,4,0,1,0,0,0,0,0,0,0,3.0,6.0,7.0,1215.0500000000002,375.2084405558416,312.6737004632013,0.0,0.3088008234688626,0.2573340195573855,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3
689,953.0,2024,1,1,12,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,1.0,7.0,8.0,1850.0,606.5573770491803,404.3715846994536,202.1857923497268,0.3278688524590164,0.2185792349726776,0.1092896174863388,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2
690,954.0,2024,1,1,12,2,4,1,1,0,1,5,5,5,1,1,1,0,0,0,0,0,0,2.0,8.0,9.0,2500.0,770.0,700.0,300.0,0.308,0.28,0.12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5
